,im_paths,id_str,ra,dec,petro_theta,est_petro_th50,petro_th50,petro_th90,gini,category,hec_path,m20
23,E:/GZ-DESI/images/major-dist\101878_930-cutout.fits,101878_930,324.10674724076836,-44.09594576263155,,1.2661522211012541,,,0.3519892122860218,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101878_930-cutout.fits,-1.5126017639986515
24,E:/GZ-DESI/images/major-dist\101883_1566-cutout.fits,101883_1566,325.8166134143279,-44.0753691096084,,2.6923289239461883,,,0.2662857492691203,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101883_1566-cutout.fits,-1.4677608488532672
25,E:/GZ-DESI/images/major-dist\101885_4936-cutout.fits,101885_4936,326.558846345074,-43.95962867143008,,10.245977876037022,,,0.23162657988175067,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101885_4936-cutout.fits,-0.7129111792333336
26,E:/GZ-DESI/images/major-dist\101890_3180-cutout.fits,101890_3180,328.37304208302976,-44.01370285948585,,1.8676585013793316,,,0.34230155077803004,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101890_3180-cutout.fits,-1.4610978190410224
27,E:/GZ-DESI/images/major-dist\101898_3164-cutout.fits,101898_3164,330.9783141363896,-44.018977957104546,,2.1637813914942527,,,0.30808159401754015,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101898_3164-cutout.fits,-1.5631249864505794
28,E:/GZ-DESI/images/major-dist\101916_7041-cutout.fits,101916_7041,337.29837712742227,-43.87882147599328,,1.6468406741868455,,,0.3483100041746528,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101916_7041-cutout.fits,-1.4725350909792527
29,E:/GZ-DESI/images/major-dist\101930_3436-cutout.fits,101930_3436,342.07960859411634,-43.89423482078532,,2.6775975739177387,,,0.4676484696213357,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101930_3436-cutout.fits,-1.3816812012779818
30,E:/GZ-DESI/images/major-dist\101959_758-cutout.fits,101959_758,352.2664761222802,-44.087347038192775,,2.099018367396184,,,0.47198516640145005,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101959_758-cutout.fits,-1.7680210111727512
31,E:/GZ-DESI/images/major-dist\101961_1466-cutout.fits,101961_1466,352.9082656018582,-44.07017096978704,,1.6731258084599974,,,0.3252427531629749,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101961_1466-cutout.fits,-1.4463127011923294
32,E:/GZ-DESI/images/major-dist\101971_5075-cutout.fits,101971_5075,356.37247877668227,-43.90938041249899,,2.3682010569084717,,,0.4135375591386963,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101971_5075-cutout.fits,-1.609000175256304
33,E:/GZ-DESI/images/major-dist\101993_379-cutout.fits,101993_379,4.090767364382375,-43.857851152674826,,1.4216306624795458,,,0.3673644605753383,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101993_379-cutout.fits,-1.115847021268944
34,E:/GZ-DESI/images/major-dist\101998_274-cutout.fits,101998_274,5.842875321632434,-43.85621100308449,,2.911857885345226,,,0.4695864037500206,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/101998_274-cutout.fits,-1.8758220308730058
35,E:/GZ-DESI/images/major-dist\102044_381-cutout.fits,102044_381,21.448168318246985,-43.844244492271436,,2.3197253050263758,,,0.29639547887859763,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102044_381-cutout.fits,-1.5737140014528528
36,E:/GZ-DESI/images/major-dist\102057_1536-cutout.fits,102057_1536,26.06404272386304,-43.675430146737725,,2.026541160850208,,,0.385227936244656,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102057_1536-cutout.fits,-1.564950938180859
37,E:/GZ-DESI/images/major-dist\102108_1292-cutout.fits,102108_1292,43.70046889287055,-43.78842884255187,,2.8372337165756227,,,0.4831400800284265,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102108_1292-cutout.fits,-1.8878910598730652
38,E:/GZ-DESI/images/major-dist\102877_551-cutout.fits,102877_551,308.66136486384767,-43.84031123037041,,8.833330328459137,,,0.37346448775755114,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102877_551-cutout.fits,-1.6248794122075747
